Reporter,Year,Partner,Product,MFNRate,AppliedTariff,TotalTariffLines,IsTraded
United States,2022,China,"020422 - Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0.257896543,0.257896543,2,No
United States,2022,China,"030221 - Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,"030353 - Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",1.245569944,1.245569944,1,Yes
United States,2022,China,"020680 - Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",0,0,1,No
United States,2022,China,"030244 - Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0,0,1,No
United States,2022,China,030383 - Toothfish (Dissostichus spp.),0,0,1,No
United States,2022,China,"020312 - Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",0.303977638,0.303977638,2,No
United States,2022,China,"030194 - Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,1,No
United States,2022,China,"030342 - Fish; yellowfin tunas (thunnus albacares), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,Yes
United States,2022,China,010631 - Birds of prey,1.799999952,1.799999952,1,No
United States,2022,China,020990 - Other,3.200000048,3.200000048,1,No
United States,2022,China,030313 - Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),0,0,1,No
United States,2022,China,010611 - Primates,0,0,1,No
United States,2022,China,020830 - Of primates,6.400000095,6.400000095,1,No
United States,2022,China,030289 - Other,1.5,1.5,2,Yes
United States,2022,China,"020319 - Meat; of swine, n.e.s. in item no. 0203.1, fresh or chilled",0.20706585,0.20706585,2,No
United States,2022,China,030195 - Southern bluefin tuna (Thunnus maccoyii),0,0,1,No
United States,2022,China,"030343 - Fish; skipjack or stripe-bellied bonito, frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,"010632 - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",1.799999952,1.799999952,1,No
United States,2022,China,"021011 - Meat, preserved; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine, dried or smoked",0.199691907,0.199691907,1,No
United States,2022,China,"030314 - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0,0,1,No
United States,2022,China,"020610 - Offal, edible; of bovine animals, fresh or chilled",0,0,1,No
United States,2022,China,030234 - Bigeye tuna (Thunnus obesus),0,0,1,No
United States,2022,China,030365 - Coalfish (Pollachius virens),0,0,1,No
United States,2022,China,"010511 - Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g",0.766859829,0.766859829,1,No
United States,2022,China,"020751 - Not cut in pieces, fresh or chilled",1.134278059,1.134278059,1,No
United States,2022,China,030274 - Eels (Anguilla spp.),0,0,1,No
United States,2022,China,010239 - Other,0.242051303,0.242051303,1,No
United States,2022,China,"020726 - Cuts and offal, fresh or chilled",4.366491795,4.366491795,1,No
United States,2022,China,"030254 - Hake (Merluccius spp., Urophycis spp.)",1.5,1.5,2,No
United States,2022,China,030433 - Nile perch (Lates niloticus),0,0,1,No
United States,2022,China,"020423 - Meat; of sheep (including lamb), boneless cuts, fresh or chilled",0.936873019,0.936873019,2,No
United States,2022,China,"030222 - Fish; plaice (pleuronectes platessa), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,"030354 - Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0,0,1,Yes
United States,2022,China,"020120 - Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8.018494606,8.018494606,7,No
United States,2022,China,021099 - Other,2.299999952,2.299999952,2,No
United States,2022,China,"030331 - Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,Yes
United States,2022,China,"020329 - Meat; of swine, n.e.s. in item no. 0203.2, frozen",0.227874607,0.227874607,2,No
United States,2022,China,"030213 - Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",0,0,1,No
United States,2022,China,030346 - Southern bluefin tuna (Thunnus maccoyii),0,0,1,No
United States,2022,China,010130 - Asses,6.800000191,6.800000191,1,No
United States,2022,China,"020712 - Not cut in pieces, frozen",4.135222912,4.135222912,1,No
United States,2022,China,030247 - Swordfish (Xiphias gladius),0,0,1,No
United States,2022,China,"030391 - Livers, roes and milt",7.5,7.5,2,Yes
United States,2022,China,"020442 - Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",0.269500107,0.269500107,2,No
United States,2022,China,"030229 - Fish; flat fish, fresh or chilled, n.e.s. in item no. 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,030357 - Swordfish (Xiphias gladius),0,0,1,No
United States,2022,China,"020220 - Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",8.169151306,8.169151306,7,No
United States,2022,China,"030191 - Fish; live, trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)",0,0,1,No
United States,2022,China,030334 - Turbots (Psetta maxima),0.272046089,0.272046089,1,No
United States,2022,China,010513 - Ducks,0.748010516,0.748010516,1,No
United States,2022,China,"020753 - Fatty livers, fresh or chilled",0.8756271,0.8756271,1,No
United States,2022,China,030281 - Dogfish and other sharks,0,0,1,No
United States,2022,China,010641 - Bees,0,0,1,No
United States,2022,China,"021020 - Meat, preserved; of bovine animals, salted, in brine, dried or smoked",0,0,1,No
United States,2022,China,"030324 - Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",0,0,1,Yes
United States,2022,China,"010310 - Swine; live, pure-bred breeding animals",0,0,1,No
United States,2022,China,"020741 - Meat and edible offal; of fowls of the species gallus domesticus, poultry cuts and offal (excluding livers), frozen",2.564661026,2.564661026,1,No
United States,2022,China,"030256 - Blue whiting (Micromesistius poutassou, Micromesistius australis)",1.5,1.5,2,No
United States,2022,China,"020629 - Offal, edible; of bovine animals, (other than tongues and livers), frozen",0,0,1,No
United States,2022,China,"030239 - Fish; tuna, fresh or chilled, n.e.s. in item no. 0302.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,"030368 - Blue whiting (Micromesistius poutassou, Micromesistius australis)",0,0,1,No
United States,2022,China,010633 - Ostriches; emus (Dromaius novaehollandiae),1.799999952,1.799999952,1,No
United States,2022,China,"021012 - Meat, preserved; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",0.233158305,0.233158305,1,No
United States,2022,China,030319 - Other,0,0,1,No
United States,2022,China,"020430 - Meat; of sheep, lamb carcasses and half-carcasses, frozen",0.102499098,0.102499098,1,No
United States,2022,China,"030223 - Fish; sole (solea spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0.067755297,0.067755297,1,No
United States,2022,China,030355 - Jack and horse mackerel (Trachurus spp.),0,0,1,Yes
United States,2022,China,"020130 - Meat; of bovine animals, boneless cuts, fresh or chilled",7.938555717,7.938555717,7,No
United States,2022,China,030111 - Freshwater fish,0,0,1,Yes
United States,2022,China,"030332 - Fish; plaice (pleuronectes platessa), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,"010612 - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0,0,1,No
United States,2022,China,"020840 - Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",6.400000095,6.400000095,1,No
United States,2022,China,"030291 - Livers, roes and milt",7.5,7.5,2,Yes
United States,2022,China,010121 - Pure-bred breeding animals,0,0,1,Yes
United States,2022,China,"020690 - Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",0,0,1,No
United States,2022,China,030245 - Jack and horse mackerel (Trachurus spp.),1.5,1.5,2,Yes
United States,2022,China,030384 - Sea bass (Dicentrarchus spp.),0,0,1,Yes
United States,2022,China,010512 - Turkeys,0.379753113,0.379753113,1,No
United States,2022,China,"020752 - Not cut in pieces, frozen",1.298447967,1.298447967,1,No
United States,2022,China,030279 - Other,1.5,1.5,2,No
United States,2022,China,"020621 - Offal, edible; of bovine animals, tongues, frozen",0,0,1,No
United States,2022,China,"030235 - Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,1,No
United States,2022,China,"030366 - Hake (Merluccius spp., Urophycis spp.)",0,0,1,No
United States,2022,China,"020321 - Meat; of swine, carcasses and half-carcasses, frozen",0,0,1,No
